id,biolovision_english,biolovision_latin,ebird_species_code
286,Kittiwake,Rissa tridactyla,bklkit
287,Sabine's Gull,Xema sabini,sabgul
288,Whiskered Tern,Chlidonias hybrida,whiter2
289,White-winged Tern,Chlidonias leucopterus,whwter
290,Black Tern,Chlidonias niger,blkter
291,Gull-billed Tern,Gelochelidon nilotica,gubter1
292,Caspian Tern,Hydroprogne caspia,caster1
293,Common Tern,Sterna hirundo,comter
294,Arctic Tern,Sterna paradisaea,arcter
295,Roseate Tern,Sterna dougallii,roster
296,Little Tern,Sternula albifrons,litter1
297,Lesser Crested Tern,Sterna bengalensis,lecter2
298,Sandwich Tern,Sterna sandvicensis,santer1
299,,Alle alle,doveki
300,Razorbill,Alca torda,razorb
301,Common Murre,Uria aalge,commur
302,Black Guillemot,Cepphus grylle,blkgui
304,Atlantic Puffin,Fratercula arctica,atlpuf
305,Pallas's Sandgrouse,Syrrhaptes paradoxus,palsan1
306,Pin-tailed Sandgrouse,Pterocles alchata,pitsan1
308,Feral Pigeon,Columba livia domestica,rocpig1
309,Stock Dove,Columba oenas,stodov1
310,Common Wood Pigeon,Columba palumbus,cowpig1
311,European Turtle Dove,Streptopelia turtur,eutdov
312,Eurasian Collared Dove,Streptopelia decaocto,eucdov
313,Great Spotted Cuckoo,Clamator glandarius,grscuc1
314,Common Cuckoo,Cuculus canorus,comcuc
315,Barn Owl,Tyto alba,webowl1
316,Eurasian Scops Owl,Otus scops,eursco1
317,Eurasian Eagle-Owl,Bubo bubo,eueowl1
318,Northern Hawk-Owl,Surnia ulula,nohowl
319,Eurasian Pygmy Owl,Glaucidium passerinum,eupowl1
320,Little Owl,Athene noctua,litowl1
321,Tawny Owl,Strix aluco,tawowl1
322,Long-eared Owl,Asio otus,loeowl
323,Short-eared Owl,Asio flammeus,sheowl
324,Tengmalm's Owl,Aegolius funereus,borowl
325,European Nightjar,Caprimulgus europaeus,eurnig1
326,Alpine Swift,Apus melba,alpswi1
327,Common Swift,Apus apus,comswi
328,Pallid Swift,Apus pallidus,palswi3
329,Common Kingfisher,Alcedo atthis,comkin1
330,European Bee-eater,Merops apiaster,eubeat1
331,European Roller,Coracias garrulus,eurrol1
332,Eurasian Hoopoe,Upupa epops,hoopoe
333,Eurasian Wryneck,Jynx torquilla,eurwry
334,European Green Woodpecker,Picus viridis,eugwoo2
335,Grey-headed Woodpecker,Picus canus,gyfwoo1
336,Black Woodpecker,Dryocopus martius,blawoo1
337,Great Spotted Woodpecker,Dendrocopos major,grswoo
338,Middle Spotted Woodpecker,Dendrocopos medius,miswoo1
339,White-backed Woodpecker,Dendrocopos leucotos,whbwoo1
340,Lesser Spotted Woodpecker,Dendrocopos minor,leswoo1
341,Eurasian Three-toed Woodpecker,Picoides tridactylus,ettwoo1
342,Black Lark,Melanocorypha yeltoniensis,blalar1
343,Calandra Lark,Melanocorypha calandra,callar1
344,White-winged Lark,Melanocorypha leucoptera,whwlar1
345,Greater Short-toed Lark,Calandrella brachydactyla,gstlar1
346,Lesser Short-toed Lark,Calandrella rufescens,lstlar1
347,Crested Lark,Galerida cristata,crelar1
348,Woodlark,Lullula arborea,woolar1
349,Eurasian Skylark,Alauda arvensis,skylar
350,Shore Lark,Eremophila alpestris,horlar
351,Barn Swallow,Hirundo rustica,barswa
352,Red-rumped Swallow,Cecropis daurica,rerswa1
353,Eurasian Crag Martin,Ptyonoprogne rupestris,eurcrm1
354,Common House Martin,Delichon urbicum,comhom1
355,Sand Martin,Riparia riparia,banswa
356,Eurasian Golden Oriole,Oriolus oriolus,eugori2
357,Common Raven,Corvus corax,comrav
358,Carrion Crow,Corvus corone,carcro1
359,Hybrid Carrion x Hooded Crow,Corvus corone x cornix,x00636
360,Hooded Crow,Corvus cornix,hoocro1
361,Rook,Corvus frugilegus,rook1
362,Western Jackdaw,Corvus monedula,eurjac
363,Eurasian Magpie,Pica pica,eurmag1
364,Azure-winged Magpie,Cyanopica cyanus,azwmag2
365,Spotted Nutcracker,Nucifraga caryocatactes,eurnut3
366,Eurasian Jay,Garrulus glandarius,eurjay1
367,Siberian Jay,Perisoreus infaustus,sibjay1
368,Red-billed Chough,Pyrrhocorax pyrrhocorax,rebcho1
369,Alpine Chough,Pyrrhocorax graculus,yebcho1
370,Great Tit,Parus major,gretit1
371,Blue Tit,Parus caeruleus,blutit
372,Azure Tit,Cyanistes cyanus,azutit2
373,Coal Tit,Parus ater,coatit2
374,European Crested Tit,Parus cristatus,cretit2
375,Marsh Tit,Parus palustris,martit2
376,Alpine or Willow Tit,Parus montanus,wiltit1
377,Long-tailed Tit,Aegithalos caudatus,lottit1
378,Eurasian Penduline Tit,Remiz pendulinus,euptit1
379,Bearded Reedling,Panurus biarmicus,bearee1
380,Eurasian Nuthatch,Sitta europaea,eurnut2
381,Eurasian Treecreeper,Certhia familiaris,eurtre1
382,Short-toed Treecreeper,Certhia brachydactyla,shttre1
383,Wallcreeper,Tichodroma muraria,wallcr1
384,White-throated Dipper,Cinclus cinclus,whtdip1
385,Eurasian Wren,Troglodytes troglodytes,winwre4
386,European Robin,Erithacus rubecula,eurrob1
387,Thrush Nightingale,Luscinia luscinia,thrnig1
388,Common Nightingale,Luscinia megarhynchos,comnig1
389,Bluethroat,Luscinia svecica,blueth
390,Red-spotted Bluethroat,Luscinia svecica svecica,blueth1
391,White-spotted Bluethroat,Luscinia svecica cyanecula,blueth2
392,Red-flanked Bluetail,Tarsiger cyanurus,refblu
393,White-throated Robin,Irania gutturalis,whtrob3
394,Black Redstart,Phoenicurus ochruros,blared1
395,Common Redstart,Phoenicurus phoenicurus,comred2
396,Whinchat,Saxicola rubetra,whinch1
397,Eurasian Stonechat,Saxicola rubicola,stonec4
398,Isabelline Wheatear,Oenanthe isabellina,isawhe1
399,Northern Wheatear,Oenanthe oenanthe,norwhe
400,Desert Wheatear,Oenanthe deserti,deswhe1
401,Black-eared Wheatear,Oenanthe hispanica,bkewhe1
402,Pied Wheatear,Oenanthe pleschanka,piewhe1
403,Rufous-tailed Rock Thrush,Monticola saxatilis,rtrthr1
404,Blue Rock Thrush,Monticola solitarius,burthr
405,Siberian Thrush,Geokichla sibirica,sibthr1
406,White's Thrush,Zoothera aurea,scathr2
407,Ring Ouzel,Turdus torquatus,rinouz1
408,Common Blackbird,Turdus merula,eurbla
409,Eyebrowed Thrush,Turdus obscurus,eyethr
410,Black-throated Thrush,Turdus atrogularis,datthr1
411,Dusky Thrush,Turdus naumanni,dusthr1
412,Fieldfare,Turdus pilaris,fieldf
413,Redwing,Turdus iliacus,redwin
414,Song Thrush,Turdus philomelos,sonthr1
415,Mistle Thrush,Turdus viscivorus,misthr1
416,Cetti's Warbler,Cettia cetti,cetwar1
417,Common Grasshopper Warbler,Locustella naevia,cogwar1
418,River Warbler,Locustella fluviatilis,eurwar2
419,Savi's Warbler,Locustella luscinioides,savwar1
420,Moustached Warbler,Acrocephalus melanopogon,mouwar1
421,Great Reed Warbler,Acrocephalus arundinaceus,grrwar1
422,Eurasian Reed Warbler,Acrocephalus scirpaceus,eurwar1
423,Marsh Warbler,Acrocephalus palustris,marwar3
424,Blyth's Reed Warbler,Acrocephalus dumetorum,blrwar1
425,Paddyfield Warbler,Acrocephalus agricola,padwar1
426,Sedge Warbler,Acrocephalus schoenobaenus,sedwar1
427,Aquatic Warbler,Acrocephalus paludicola,aquwar1
428,Melodious Warbler,Hippolais polyglotta,melwar1
429,Icterine Warbler,Hippolais icterina,ictwar1
430,Eastern Olivaceous Warbler,Iduna pallida,eaowar1
431,Olive-tree Warbler,Hippolais olivetorum,oltwar1
432,Booted Warbler,Hippolais caligata,boowar1
433,Eurasian Blackcap,Sylvia atricapilla,blackc1
434,Barred Warbler,Sylvia nisoria,barwar1
435,Orphean Warbler,Sylvia hortensis,weowar2
436,Garden Warbler,Sylvia borin,garwar1
437,Common Whitethroat,Sylvia communis,grewhi1
438,Lesser Whitethroat,Sylvia curruca,leswhi1
439,Sardinian Warbler,Sylvia melanocephala,sarwar1
440,Subalpine Warbler,Sylvia cantillans,subwar1
441,Spectacled Warbler,Sylvia conspicillata,spewar2
442,Dartford Warbler,Sylvia undata,darwar1
443,Rufous-tailed Scrub Robin,Cercotrichas galactotes,rutscr1
444,Zitting Cisticola,Cisticola juncidis,zitcis1
445,Willow Warbler,Phylloscopus trochilus,wlwwar
446,Common Chiffchaff,Phylloscopus collybita,comchi1
447,Common Chiffchaff (P.c.abietinus),Phylloscopus collybita abietinus,
448,Common Chiffchaff (P.c.tristis),Phylloscopus collybita tristis,comchi4
449,Western Bonelli's Warbler,Phylloscopus bonelli,webwar1
450,Wood Warbler,Phylloscopus sibilatrix,woowar
451,Dusky Warbler,Phylloscopus fuscatus,duswar
452,Yellow-browed Warbler,Phylloscopus inornatus,yebwar3
453,Arctic Warbler,Phylloscopus borealis,arcwar1
454,Greenish Warbler,Phylloscopus trochiloides,grewar3
455,Goldcrest,Regulus regulus,goldcr1
456,Firecrest,Regulus ignicapilla,firecr1
457,Spotted Flycatcher,Muscicapa striata,spofly1
458,European Pied Flycatcher,Ficedula hypoleuca,eupfly1
459,Collared Flycatcher,Ficedula albicollis,colfly1
460,Red-breasted Flycatcher,Ficedula parva,rebfly
461,Dunnock,Prunella modularis,dunnoc1
462,Alpine Accentor,Prunella collaris,alpacc1
463,Meadow Pipit,Anthus pratensis,meapip1
464,Richard's Pipit,Anthus richardi,ricpip1
465,Tawny Pipit,Anthus campestris,tawpip1
466,Olive-backed Pipit,Anthus hodgsoni,olbpip
467,Tree Pipit,Anthus trivialis,trepip
468,Red-throated Pipit,Anthus cervinus,retpip
469,Water Pipit,Anthus spinoletta,watpip1
470,Rock Pipit (A.p.petrosus),Anthus petrosus petrosus,
471,Rock Pipit (A.p.littoralis),Anthus petrosus littoralis,rocpip2
472,White Wagtail,Motacilla alba,whiwag
473,Pied Wagtail,Motacilla alba yarrellii,whiwag3
474,Grey Wagtail,Motacilla cinerea,grywag
475,Yellow Wagtail,Motacilla flava,eaywag1
476,Western Yellow Wagtail (M.f.flava),Motacilla flava flava,weywag16
477,Western Yellow Wagtail (M.f.flavissima),Motacilla flava flavissima,weywag14
478,Grey-headed Wagtail (M.f.thunbergi),Motacilla flava thunbergi,weywag2
479,Black-headed Wagtail (ssp. feldegg),Motacilla flava feldegg,weywag6
480,Western Yellow Wagtail (M.f.cinereocapilla),Motacilla flava cinereocapilla,weywag19
481,Western Yellow Wagtail (M.f.iberiae),Motacilla flava iberiae,weywag18
482,Yellow-headed Yellow Wagtail (ssp. lutea),Motacilla flava lutea,weywag15
483,Western Yellow Wagtail (M.f.beema),Motacilla flava beema,weywag17
484,Citrine Wagtail,Motacilla citreola,citwag
485,Bohemian Waxwing,Bombycilla garrulus,bohwax
486,Great Grey Shrike,Lanius excubitor,norshr1
487,Southern Grey Shrike,Lanius meridionalis,ibgshr1
488,Lesser Grey Shrike,Lanius minor,legshr2
489,Woodchat Shrike,Lanius senator,wooshr1
490,Red-backed Shrike,Lanius collurio,rebshr1
491,Common Starling,Sturnus vulgaris,eursta
492,Rosy Starling,Sturnus roseus,rossta2
493,House Sparrow,Passer domesticus,houspa
494,Italian Sparrow,Passer hispaniolensis italiae,itaspa1
495,Eurasian Tree Sparrow,Passer montanus,eutspa
