id,biolovision_english,biolovision_latin,ebird_species_code
16037,Ranitomeya variabilis,,
16038,Chiasmocleis hudsoni,,
16039,Chiasmocleis haddadi,,
16041,Chiasmocleis shudikarensis,,
16042,Chiasmocleis sp.,,
16043,Ctenophryne geayi,,
16044,Elachistocleis surinamensis,,
16045,Hamptophryne boliviana,,
16046,Otophryne pyburni,,
16047,Synapturanus zombie,,
16049,Lithobates palmipes,,
16050,Perilestes attenuatus,,
16053,Perilestes gracillimus,,
16054,Perilestes kahli,,
16056,Perilestes solutus,,
16057,Perilestes sp. 1,,
16062,Perissolestes guianensis,,
16083,Lestes basidens,,
16085,Lestes curvatus,,
16086,Lestes debellardi,,
16087,Lestes dichrostigma,,
16088,Lestes falcifer,,
16090,Lestes forficula,,
16093,Lestes jerrelli,,
16096,Lestes minutus,,
16107,Lestes tenuatus,,
16109,Lestes trichonus,,
16120,Palaemnema brevignoni,,
16161,Rimanella arcana,,
16170,Hetaerina caja dominula,,
16179,Hetaerina gallardi,,
16183,Hetaerina laesa,,
16189,Hetaerina moribunda,,
16190,Hetaerina mortua,,
16196,Hetaerina sanguinea,,
16202,Hetaerina sp.,,
16208,Mnesarete cupraea,,
16237,Heliocharis amazona,,
16246,Dimeragrion percubitale,,
16271,Heteragrion ictericum,,
16294,Heteragrion silvarum,,
16296,Heteragrion simulatum,,
16301,Heteragrion sp.,,
16310,Oxystigma cyanofrons,,
16311,Oxystigma petiolatum,,
16384,Chalcopteryx seabrai,,
16431,Polythore picta,,
16441,Acanthagrion abunae,,
16446,Acanthagrion apicale,,
16447,Acanthagrion ascendens,,
16448,Acanthagrion chacoense,,
16453,Acanthagrion fluviatile,,
16454,Acanthagrion gracile,,
16459,Acanthagrion indefensum,,
16460,Acanthagrion inexpectum,,
16462,Acanthagrion kennedii,,
16467,Acanthagrion minutum,,
16473,Acanthagrion rubrifrons,,
16476,Acanthagrion temporale,,
16479,Acanthagrion truncatum,,
16484,Acanthagrion sp.,,
16486,Acanthallagma luteum,,
16493,Aeolagrion dorsale,,
16526,Argia collata,,
16542,Argia fumigata,,
16563,Argia insipida,,
16583,Argia oculata,,
16593,Argia pulla,,
16604,Argia meioura,,
16605,Argia gemella,,
16606,Argia deceptor,,
16618,Argia translata,,
16628,Argia sp.,,
16649,Dolonagrion fulvellum,,
16670,Homeoura nepos,,
16671,Homeoura obrieni,,
16676,Inpabasis rosea,,
16678,Ischnura capreolus,,
16686,Ischnura fluviatilis,,
16689,Ischnura ramburii,,
16692,Fredyagrion aculeatum,,
16708,Fredyagrion siquerai,,
16713,Leptobasis inversa,,
16718,Leptobasis vacillans,,
16719,Leucobasis candicans,,
16731,Mesoleptobasis cantralli,,
16732,Mesoleptobasis cyanolineata,,
16733,Mesoleptobasis elongata,,
16736,Metaleptobasis bicornis,,
16738,Metaleptobasis brysonima,,
16739,Metaleptobasis fernandezi,,
16747,Metaleptobasis quadricornis,,
16752,Metaleptobasis sp.,,
16758,Nehalennia minuta,,
16770,Acanthagrion egleri,,
16792,Phoenicagrion flammeum,,
16804,Telebasis abuna,,
16811,Telebasis carminita,,
16819,Telebasis demarara,,
16831,Telebasis griffinii,,
16850,Telebasis sanguinalis,,
16853,Telebasis simulata,,
16854,Telebasis sp1,,
16862,Telebasis sp.,,
16876,Tuberculobasis inversa,,
16878,Tuberculobasis macuxi,,
16879,Tuberculobasis mammilaris,,
16882,Tuberculobasis yanomami,,
16896,Epipleoneura capilliformis,,
16898,Epipleoneura fernandezi,,
16899,Epipleoneura fuscaenea,,
16900,Epipleoneura haroldoi,,
16902,Epipleoneura janirae,,
16904,Epipleoneura lamina,,
16910,Epipleoneura pereirai,,
16912,Epipleoneura sp. 1,,
16913,Epipleoneura sp. 2,,
16914,Epipleoneura spatulata,,
16922,Epipotoneura nehalennia,,
16937,Neoneura angelensis,,
16938,Neoneura bilinearis,,
16940,Neoneura confundens,,
16942,Neoneura denticulata,,
16946,Neoneura fulvicollis,,
16947,Neoneura gaida,,
16948,Neoneura joana,,
16954,Neoneura mariana,,
16956,Neoneura myrthea,,
16958,Neoneura rubriventris,,
16960,Neoneura schreiberi,,
16961,Neoneura sylvatica,,
16963,Neoneura sp.,,
16968,Phasmoneura exigua,,
16974,Protoneura calverti,,
16989,Protoneura tenuis,,
16995,Psaironeura tenuissima,,
17002,Mecistogaster jocaste,,
17003,Mecistogaster linearis,,
17004,Mecistogaster lucretia,,
17007,Mecistogaster ornata,,
17011,Microstigma anomalum,,
17022,Anax amazili,,
17023,Anax concolor,,
17040,Coryphaeschna adnexa,,
17041,Coryphaeschna amazonica,,
17047,Coryphaeschna viriditas,,
17050,Gynacantha auricularis,,
17052,Gynacantha bifida,,
17058,Gynacantha francesca,,
17059,Gynacantha gracilis,,
17061,Gynacantha interioris,,
17063,Gynacantha klagesi,,
17064,Gynacantha laticeps,,
17065,Gynacantha litoralis,,
17066,Gynacantha membranalis,,
17067,Gynacantha mexicana,,
17068,Gynacantha nervosa,,
17070,Gynacantha tenuis,,
17072,Gynacantha sp.,,
17076,Neuraeschna capillata,,
17077,Neuraeschna claviforcipata,,
17078,Neuraeschna clavulata,,
17079,Neuraeschna cornuta,,
17080,Neuraeschna costalis,,
17081,Neuraeschna dentigera,,
17082,Neuraeschna harpya,,
17137,Staurophlebia auca,,
17140,Staurophlebia reticulata,,
17141,Staurophlebia wayana,,
17142,Staurophlebia sp.,,
17143,Triacanthagyna caribbea,,
17144,Triacanthagyna dentata,,
17145,Triacanthagyna ditzleri,,
17148,Triacanthagyna satyrus,,
17149,Triacanthagyna septima,,
17152,Triacanthagyna sp.,,
17160,Agriogomphus ericae,,
17162,Agriogomphus sylvicola,,
17165,Aphylla alia,,
17170,Aphylla brevipes,,
17173,Aphylla dentata,,
17180,Aphylla producta,,
17192,Archaeogomphus hamatus,,
17194,Archaeogomphus nanus,,
17197,Cacoides latro,,
17206,Desmogomphus tigrivensis,,
17210,Ebegomphus conchinus,,
17211,Ebegomphus minutus,,
17223,Epigomphus hylaeus,,
17271,Melanocacus mungo,,
17280,Peruviogomphus bellei,,
17287,Phyllocycla bartica,,
17299,Phyllocycla modesta,,
17301,Phyllocycla neotropica,,
17302,Phyllocycla ophis,,
17314,Phyllocycla sp.,,
17317,Phyllogomphoides andromeda,,
17322,Phyllogomphoides atlanticus,,
17332,Phyllogomphoides cristatus,,
17335,Phyllogomphoides fuliginosus,,
17343,Phyllogomphoides major,,
17360,Phyllogomphoides undulatus,,
17369,Progomphus approximatus,,
17378,Progomphus brachycnemis,,
17381,Progomphus conjectus,,
17389,Progomphus geijskesi,,
17390,Progomphus guyanensis,,
17410,Progomphus pijpersi,,
17413,Progomphus racenisi,,
17421,Progomphus tibialis,,
17426,Progomphus sp.,,
17432,Zonophora batesi,,
17433,Zonophora calippus,,
17440,Zonophora surinamensis,,
17446,Aeschnosoma auripennis,,
17447,Aeschnosoma elegans,,
17448,Aeschnosoma forcipula,,
17460,Lauromacromia dubitalis,,
17491,Neocordulia sp.,,
17492,Paracordulia sericea,,
17497,Anatya guttata,,
17501,Antidythemis trameiformis,,
17502,Argyrothemis argentea,,
17503,Brachymesia furcata,,
17505,Brachymesia herbida,,
17514,Brechmorhoga nubecula,,
17517,Brechmorhoga praedatrix,,
17520,Brechmorhoga travassosi,,
17527,Dasythemis esmeralda,,
17528,Dasythemis essequiba,,
17531,Diastatops dimidiata,,
17537,Diastatops obscura,,
17538,Diastatops pullata,,
17539,Diastatops sp.,,
17543,Dythemis nigra,,
17552,Elasmothemis cannacrioides,,
17555,Elasmothemis rufa,,
17557,Elasmothemis williamsoni,,
17558,Elga leptostyla,,
17560,Erythemis attala,,
17561,Erythemis carmelita,,
17563,Erythemis credula,,
17564,Erythemis haematogastra,,
17565,Erythemis mithroides,,
17566,Erythemis peruviana,,
17567,Erythemis plebeja,,
17570,Erythemis vesiculosa,,
17573,Erythrodiplax amazonica,,
17576,Erythrodiplax angustipennis,,
17581,Erythrodiplax basalis,,
17586,Erythrodiplax castanea,,
17594,Erythrodiplax famula,,
17595,Erythrodiplax fervida,,
17596,Erythrodiplax fulva,,
17598,Erythrodiplax fusca,,
17602,Erythrodiplax juliana,,
17605,Erythrodiplax latimaculata,,
17607,Erythrodiplax laurentia,,
17609,Erythrodiplax longitudinalis,,
17612,Erythrodiplax maculosa,,
17618,Erythrodiplax ochracea,,
17620,Erythrodiplax paraguayensis,,
17625,Erythrodiplax umbrata,,
17626,Erythrodiplax unimaculata,,
17627,Erythrodiplax venusta,,
17628,Erythrodiplax sp.,,
17630,Fylgia amazonica lychnitina,,
17633,Gynothemis pumila,,
17634,Gynothemis uniseta,,
17636,Idiataphe amazonica,,
17639,Idiataphe longipes,,
17644,Libellula herculea,,
17653,Macrothemis belliata,,
17654,Macrothemis brevidens,,
17659,Macrothemis declivata,,
17660,Macrothemis delia,,
17661,Macrothemis extensa,,
17663,Macrothemis flavescens,,
17665,Macrothemis guarauno,,
17667,Macrothemis hemichlora,,
17671,Macrothemis imitans,,
17675,Macrothemis ludia,,
17680,Macrothemis musiva,,
17682,Macrothemis nobilis,,
17684,Macrothemis polyneura,,
17693,Macrothemis sp.,,
17694,Miathyria marcella,,
17695,Miathyria simplex,,
17696,Micrathyria aequalis,,
17698,Micrathyria artemis,,
17700,Micrathyria atra,,
17703,Micrathyria cambridgei,,
17704,Micrathyria catenata,,
17705,Micrathyria coropinae,,
17708,Micrathyria dido,,
17709,Micrathyria didyma,,
17718,Micrathyria hippolyte,,
17722,Micrathyria laevigata,,
17724,Micrathyria mengeri,,
17726,Micrathyria ocellata,,
17727,Micrathyria paruensis,,
17729,Micrathyria pseudeximia,,
17734,Micrathyria spinifera,,
17737,Micrathyria surinamensis,,
17739,Micrathyria tibialis,,
17742,Micrathyria sp.,,
17744,Misagria calverti,,
17746,Misagria parana,,
17747,Misagria sp.,,
17751,Nephepeltia flavifrons,,
17753,Nephepeltia phryne,,
17754,Nothodiplax dendrophila,,
17755,Oligoclada abbreviata / risi / walkeri,,
17756,Oligoclada abbreviata,,
17757,Oligoclada amphinome,,
17770,Oligoclada pachystigma,,
17771,Oligoclada pachystigma / walkeri,,
17772,Oligoclada rhea,,
17773,Oligoclada risi,,
17780,Oligoclada walkeri,,
17782,Oligoclada sp.,,
17784,Orthemis aequilibris,,
17786,Orthemis ambirufa,,
17787,Orthemis anthracina,,
17788,Orthemis attenuata,,
17789,Orthemis biolleyi,,
17791,Orthemis concolor,,
17792,Orthemis sulphurata / discolor / schmidti,,
17793,Orthemis coracina,,
17794,Orthemis cultriformis,,
17795,Orthemis discolor,,
17796,Orthemis ferruginea,,
17797,Orthemis flavopicta,,
17804,Orthemis regalis,,
17805,Orthemis schmidti,,
17808,Orthemis sulphurata,,
17810,Orthemis sp.,,
17818,Perithemis cornelia,,
17820,Perithemis electra,,
17823,Perithemis lais,,
17827,Perithemis tenera,,
17828,Perithemis thais,,
17829,Planiplax arachne,,
17832,Planiplax phoenicura,,
17834,Planiplax sp.,,
17838,Rhodopygia cardinalis,,
17839,Rhodopygia geijskesi,,
17841,Rhodopygia hollandi,,
17842,Rhodopygia pruinosa,,
17843,Rhodopygia sp.,,
17855,Tauriphila argo,,
17856,Tauriphila australis,,
17860,Tholymis citrina,,
17861,Tramea abdominalis,,
17862,Tramea basilaris,,
17863,Tramea binotata,,
17864,Tramea darwini,,
17865,Tramea cophysa,,
17868,Tramea minuta,,
17870,Tramea rustica,,
17871,Uracis fastigiata,,
17872,Uracis imbuta,,
17873,Uracis infumata,,
17874,Uracis ovipositrix,,
17876,Uracis siemensi,,
17878,Uracis sp.,,
17881,Zenithoptera fasciata,,
17883,Zenithoptera viola,,
17890,Calpodes ethlius,,
17893,Telegonus talus,,
17894,Hylephila phyleus,,
17900,Burnsius orcus,,
17903,Panoquina lucas woodruffi,,
17914,Chlorostrymon simaethis,,
17915,Ministrymon azia,,
17920,Dione juno,,
17927,Anartia jatrophae,,
17928,Biblis hyperia,,
17931,Hypolimnas misippus,,
17932,Nymphalidae sp.,,
17938,Phoebis statira statira,,
17943,Pieridae sp.,,
17949,Pyrisitia / Eurema sp.,,
18017,Balaenoptera bonaerensis,,
18021,Balaenoptera sp.,,
18022,Mysticeti sp.,,
18039,Mesoplodon densirostris,,
18056,Sotalia guianensis,,
18058,Stenella attenuata,,
18059,Stenella frontalis,,
18060,Stenella longirostris,,
18065,Stenella attenuata / frontalis / longirostris,,
18066,Stenella clymene,,
18067,Delphinus delphis capensis,,
18076,Peponocephala electra,,
18091,Odontoceti sp.,,
18092,Trichechus manatus manatus,,
19482,"Hybrid Shrike, unidentified",Lanius sp. x Lanius sp.,
19483,Shrike sp.,Lanius sp.,shrike
19488,Muscovy Duck,Cairina moschata,musduc
19489,Ruddy x Common Shelduck,Tadorna ferruginea x tadorna,x00876
19490,Feral Pink-footed Goose,Anser brachyrhynchus f. domestica,
19491,Feral Barnacle Goose,Branta leucopsis f. domestica,
19492,Spectacled Eider,Somateria fischeri,speeid
19494,Fork-tailed Swift,Apus pacificus,fotswi
19495,Fischer's x Yellow-collared Lovebird,Agapornis fischeri x personatus,x00671
19496,Oriental Pratincole,Glareola maldivarum,oripra
19497,Atlantic Canary,Serinus canaria,comcan
19501,Thecadactylus rapicauda,,
19502,Chelonoidis carbonarius,,
19503,Chelonoidis denticulatus,,
19504,Chelonoidis sp.,,
19505,Eleutherodactylus johnstonei,,
19506,Rhinella marina,,
19507,Hemidactylus mabouia,,
19508,Molossus molossus,,
19509,Didelphis marsupialis,,
19511,Cheloniidae sp.,,
19512,Dasyprocta leporina / Myoprocta acouchy,,
19513,Citrine x Yellow Wagtail,Motacilla citreola x flava,
19517,Yellow-Breasted Greenfinch,Carduelis spinoides,yebgre4
19518,Coendou melanurus / prehensilis,,
19573,Lestidae sp.,,
19579,Anax sp.,,
19590,Libellulidae sp.,,
19591,Hybrid Gull sp.,Larus x Larus sp.,
19592,Lesser Black-backed x Yellow Legged Gull,Larus fuscus x michahellis,
19593,Herring x Glaucous Gull,Larus argentatus x hyperboreus,nelgul
19594,Herring x Lesser Black-backed Gull,Larus argentatus x fuscus,x00057
19595,Herring x Yellow-legged Gull,Larus argentatus x michahellis,
19596,Hybrid European Herring x Caspian Gull,Larus argentatus x cachinnans,x00915
19597,Red-tailed Hawk,Buteo jamaicensis,rethaw
19599,White-spotted Bluethroat / L.s.namnetum,Luscinia svecica cyanecula / namnetum,
22112,Physella acuta,,
24516,Cicadidae sp.,,
24771,Perilestes sp.,,
24772,Perissolestes sp.,,
24776,Oxystigma sp.,,
24778,Acanthallagma sp.,,
24779,Aeolagrion sp.,,
24780,Homeoura sp.,,
24782,Leptagrion sp.,,
24784,Mesoleptobasis sp.,,
24785,Tuberculobasis sp.,,
24786,Epipleoneura sp.,,
24789,Protoneura sp.,,
24791,Mecistogaster sp.,,
24793,Coryphaeschna sp.,,
24794,Neuraeschna sp.,,
24795,Aphylla sp.,,
24796,Archaeogomphus sp.,,
24798,Ebegomphus sp.,,
24806,Phyllogomphoides sp.,,
24808,Zonophora sp.,,
24809,Aeschnosoma sp.,,
24810,Lauromacromia sp.,,
24811,Anatya sp.,,
24813,Brachymesia sp.,,
24814,Brechmorhoga sp.,,
24815,Dasythemis sp.,,
24817,Elasmothemis sp.,,
24818,Elga sp.,,
24819,Erythemis sp.,,
24821,Gynothemis sp.,,
24822,Idiataphe sp.,,
24823,Miathyria sp.,,
24824,Nephepeltia sp.,,
24826,Perithemis sp.,,
24827,Tauriphila sp.,,
24828,Tramea sp.,,
24829,Zenithoptera sp.,,
24840,Wattled Crane,Bugeranus carunculatus,watcra2
24841,Orange-bellied Parrot,Neophema chrysogaster,orbpar1
24842,Pied Kingfisher,Ceryle rudis,piekin1
24844,Green / Iberian Green Woodpecker,Picus viridis / sharpei,
24850,Great White x Dalmatian Pelican,Pelecanus onocrotalus x crispus,x00842
29209,,Potamotrygon marinae,
29210,,Potamotrygon orbignyi,
29212,,Osteoglossum bicirrhosum,
29213,,Anchovia clupeoides,
29214,,Anchovia surinamensis,
29215,,Anchoviella cayennensis,
29216,,Anchoviella guianensis,
29217,,Lycengraulis batesii,
29218,,Parodon guyanensis,
29219,,Curimata cyprinoides,
29220,,Curimatopsis crypticus,
29221,,Cyphocharax biocellatus,
29222,,Cyphocharax helleri,
29223,,Cyphocharax gouldingi,
29224,,Cyphocharax microcephalus,
29225,,Cyphocharax punctatus,
29226,,Cyphocharax spilurus,
29227,,Cyphocharax aff. spilurus,
29228,,Steindachnerina varii,
29229,,Prochilodus rubrotaeniatus,
29230,,Semaprochilodus varii,
29231,,Anostomus brevior,
29232,,Anostomus ternetzi,
29233,,Hypomasticus despaxi,
29234,,Leporinus acutidens,
29235,,Leporinus fasciatus,
29236,,Leporinus friderici,
29237,,Leporinus gossei,
29238,,Leporinus granti,
29239,,Leporinus lebaili,
29240,,Leporinus maculatus,
29241,,Leporinus melanostictus,
29242,,Leporinus nijsseni,
29243,,Leporinus pellegrini,
29244,,Schizodon fasciatus,
29245,,Caenotropus maculosus,
29246,,Chilodus zunevei,
29247,,Characidium pellucidum,
29248,,Characidium zebra,
29249,,Characidium n.sp1,
29250,,Characidium n.sp2,
29251,,Crenuchus spilurus,
29252,,Melanocharacidium blennioides,
29253,,Melanocharacidium dispilomma,
29254,,Microcharacidium eleotrioides,
29255,,Argonectes longiceps,
29256,,Bivibranchia bimaculata,
29257,,Bivibranchia simulata,
29258,,Hemiodus huraulti,
29259,,Hemiodus quadrimaculatus,
29260,,Hemiodus unimaculatus,
29261,,Hemiodus aff. unimaculatus,
29262,,Carnegiella strigata,
29263,,Gasteropelecus sternicla,
29264,,Chalceus macrolepidotus,
29265,,Aphyocharacidium melandetum,
29266,,Astyanax bimaculatus,
29267,,Astyanax leopoldi,
29268,,Astyanax validus,
29269,,Bryconops aff. affinis,
29270,,Bryconops aff. caudomaculatus,
29271,,Bryconops affinis,
29272,,Bryconops florenceae,
29273,,Bryconops cyrtogaster,
29274,,Bryconops melanurus,
29275,,Ctenobrycon spilurus,
29276,,Hemigrammus aereus,
29277,,Hemigrammus bellottii,
29278,,Hemigrammus boesemani,
29279,,Hemigrammus guyanensis,
29280,,Hemigrammus ocellifer,
29281,,Hemigrammus ora,
29282,,Hemigrammus rodwayi,
29283,,Hemigrammus unilineatus,
29284,,Hemigrammus aff marginatus,
29285,,Hyphessobrycon borealis,
29286,,Hyphessobrycon copelandi,
29287,,Hyphessobrycon eques,
29288,,Hyphessobrycon roseus,
29289,,Hyphessobrycon simulatus,
29290,,Hyphessobrycon takasei,
29291,,Jupiaba abramoides,
29292,,Jupiaba keithi,
29293,,Jupiaba maroniensis,
29294,,Jupiaba meunieri,
29295,,Jupiaba ocellata,
29296,,Moenkhausia aff. grandisquamis,
29297,,Moenkhausia aff. intermedia,
29298,,Moenkhausia chrysargyrea,
29299,,Moenkhausia collettii,
29300,,Tetragonopterus georgiae,
29301,,Moenkhausia grandisquamis,
29302,,Moenkhausia hemigrammoides,
29303,,Moenkhausia inrai,
29304,,Moenkhausia lata,
29305,,Moenkhausia moisae,
29306,,Moenkhausia oligolepis,
29307,,Moenkhausia surinamensis,
29308,,Pristella aff. maxillaris,
29309,,Pristella maxillaris,
29310,,Thayeria ifati,
29311,,Iguanodectes aff. purusi,
29312,,Piabucus dentatus,
29313,,Brycon falcatus,
29314,,Brycon pesu,
29315,,Triportheus brachipomus,
29316,,Acnodon oligacanthus,
29317,,Metynnis lippincottianus,
29318,,Myleus knerii,
29319,,Myloplus planquettei,
29320,,Prosomyleus rhomboidalis,
29321,,Myloplus rubripinnis,
29322,,Myloplus ternetzi,
29323,,Serrasalmus eigenmanni,
29324,,Pristobrycon striolatus,
29325,,Pygocentrus nattereri,
29326,,Pygopristis denticulata,
29327,,Serrasalmus spilopleura,
29328,,Serrasalmus rhombeus,
29329,,Tometes lebaili,
29330,,Tometes trilobatus,
29331,,Charax niger,
29332,,Charax aff. pauciradiarus,
29333,,Cynopotamus essequibensis,
29334,,Galeocharax gulo,
29335,,Phenacogaster aff. pectinatus,
29336,,Phenacogaster wayampi,
29337,,Phenacogaster wayana,
29338,,Roeboexodon guyanensis,
29339,,Poptella brevispina,
29340,,Brachychalcinus orbicularis,
29341,,Tetragonopterus chalceus,
29342,,Tetragonopterus rarus,
29343,,Bryconamericus guyanensis,
29344,,Knodus heteresthes,
29345,,Bryconamericus aff. hyphesson,
29346,,Creagrutus melanzonus,
29347,,Creagrutus planquettei,
29348,,Hemibrycon surinamensis,
29349,,Serrapinnus gracilis,
29350,,Serrapinnus littoris,
29351,,Acestrorhynchus falcatus,
29352,,Acestrorhynchus microlepis,
29353,,Acestrorhynchus sp.,
29354,,Cynodon meionactis,
29355,,Erythrinus erythrinus,
29356,,Hoplerythrinus unitaeniatus,
29357,,Hoplias aimara,
29358,,Hoplias malabaricus,
29359,,Copella arnoldi,
29360,,Copella carsevennensis,
29361,,Nannostomus beckfordi,
29362,,Nannostomus bifasciatus,
29363,,Pyrrhulina filamentosa,
29364,,Pyrrhulina cf. brevis,
29365,,Pyrrhulina stoli,
29366,,Boulengerella cuvieri,
29367,,Amphiarius phrygiatus,
29368,,Cetopsidium orientale,
29369,,Helogenes marmoratus,
29370,,Aspredinichthys filamentosus,
29371,,Aspredinichthys tibicen,
29372,,Bunocephalus aloikae,
29373,,Bunocephalus coracoideus,
29375,,Platystacus cotylephorus,
29376,,Ituglanis amazonicus,
29377,,Ituglanis nebulosus,
29378,,Ochmacanthus cf. alternus,
29379,,Ochmacanthus reinhardti,
29380,,Callichthys callichthys,
29381,,Hoplosternum littorale,
29382,,Megalechis thoracata,
29383,,Corydoras aeneus,
29384,,Corydoras amapaensis,
29385,,Corydoras approuaguensis,
29386,,Corydoras baderi,
29387,,Corydoras cf. brevirostris,
29388,,Corydoras condiscipulus,
29389,,Corydoras geoffroy,
29390,,Corydoras guianensis,
29391,,Corydoras cf. breei,
29392,,Corydoras nanus,
29393,,Corydoras oiapoquensis,
29394,,Corydoras punctatus,
29395,,Corydoras sipaliwini,
29396,,Corydoras solox,
29397,,Corydoras sp1 aff. approuaguensis,
29398,,Corydoras sp2 aff. lineatus,
29399,,Corydoras sp3,
29400,,Corydoras potaroensis,
29401,,Corydoras spilurus,
29402,,Curculionichthys sp.,
29403,,Otocinclus mariae,
29404,,Cteniloricaria platystoma,
29405,,Farlowella reticulata,
29406,,Farlowella rugosa,
29407,,Harttia fowleri,
29408,,Harttia guianensis,
29409,,Harttiella crassicauda,
29410,,Harttiella intermedia,
29411,,Harttiella janmoli,
29412,,Harttiella longicauda,
29413,,Harttiella lucifer,
29414,,Harttiella parva,
29415,,Harttiella pilosa,
29416,,Hemiodontichthys acipenserinus,
29417,,Loricaria aff. parnahybae,
29418,,Loricaria cataphracta,
29419,,Loricaria nickeriensis,
29420,,Metaloricaria paucidens,
29421,,Rineloricaria aff. stewarti,
29422,,Rineloricaria platyura,
29423,,Ancistrus aff. hoplogenys,
29424,,Ancistrus cf. leucostictus,
29425,,Ancistrus aff. temminckii,
29426,,Ancistrus temminckii,
29427,,Guyanancistrus brevispinis,
29428,,Guyanancistrus longispinis,
29429,,Guyanancistrus niger,
29430,,Hemiancistrus medians,
29431,,Paralithoxus boujardi,
29432,,Paralithoxus planquettei,
29433,,Paralithoxus stocki,
29434,,Pseudoqolus koko,
29435,,Peckoltia otali,
29436,,Peckoltia capitulata,
29437,,Peckoltia simulata,
29438,,Pseudacanthicus serratus,
29439,,Pseudancistrus barbatus,
29440,,Hypostomus gymnorhynchus,
29441,,Hypostomus nematopterus,
29442,,Hypostomus plecostomus,
29443,,Batrochoglanis raninus,
29444,,Batrochoglanis villosus,
29445,,Cephalosilurus nigricaudus,
29446,,Microglanis poecilus,
29447,,Microglanis secundus,
29448,,Pseudopimelodus bufonius,
29449,,Chasmocranus brevior,
29450,,Chasmocranus longior,
29451,,Heptapterus bleekeri,
29452,,Heptapterus tapanahoniensis,
29453,,Imparfinis pijpersi,
29454,,Mastiglanis durantoni,
29455,,Phenacorhamdia tenuis,
29456,,Pimelodella cristata,
29457,,Pimelodella geryi,
29458,,Pimelodella leptosoma,
29459,,Pimelodella macturki,
29460,,Pimelodella megalops,
29461,,Pimelodella procera,
29462,,Rhamdia quelen,
29463,,Brachyplatystoma filamentosum,
29464,,Brachyplatystoma rousseauxii,
29465,,Brachyplatystoma vaillantii,
29466,,Hemisorubim platyrhynchos,
29467,,Pimelabditus moli,
29468,,Pimelodus blochii,
29469,,Pimelodus ornatus,
29470,,Propimelodus eigenmanni,
29471,,Pseudoplatystoma fasciatum,
29472,,Pseudoplatystoma tigrinum,
29473,,Hypophthalmus marginatus,
29474,,Acanthodoras cataphractus,
29475,,Anadoras regani,
29476,,Doras carinatus,
29477,,Doras micropoeus,
29478,,Lithodoras dorsalis,
29479,,Platydoras costatus,
29480,,Ageneiosus inermis,
29481,,Ageneiosus ucayalensis,
29482,,Auchenipterus dentatus,
29483,,Auchenipterus nuchalis,
29484,,Gephyromochlus leopardus,
29485,,Tatia brunnea,
29486,,Tatia intermedia,
29487,,Trachelyopterus coriaceus,
29488,,Trachelyopterus galeatus,
29489,,Electrophorus electricus,
29490,,Gymnotus anguillaris,
29491,,Gymnotus carapo,
29492,,Gymnotus sp.,
29494,,Distocyclus sp.,
29495,,Japigny kirschbaum,
29496,,Eigenmannia virescens,
29497,,Rhabdolichops jegui,
29498,,Sternopygus macrurus,
29499,,Rhamphichthys rostratus,
29500,,Brachyhypopomus beebei,
29501,,Brachyhypopomus brevirostris,
29502,,Brachyhypopomus pinnicaudatus,
29503,,Hypopomus artedi,
29504,,Hypopygus lepturus,
29505,,Apteronotus aff. albifrons,
29506,,Apteronotus albifrons,
29507,,Porotergus gymnotus,
29508,,Sternarchorhynchus galibi,
29509,,Sternarchorhynchus aff. oxyrhynchus,
29510,,Mugil liza,
29511,,Potamorrhaphis guianensis,
29512,,Pseudotylosurus microps,
29513,,Kryptolebias marmoratus,
29514,,Kryptolebias sepia,
29515,,Laimosemion agilae,
29516,,Laimosemion cladophorus,
29517,,Anablepsoides gaucheri,
29518,,Laimosemion geayi,
29520,,Anablepsoides igneus,
29521,,Anablepsoides lungi,
29522,,Laimosemion xiphidius,
29523,,Anableps microlepis,
29524,,Fluviphylax palikur,
29525,,Poecilia bifurca,
29526,,Poecilia cf. picta,
29527,,Poecilia parae,
29528,,Poecilia reticulata,
29529,,Poecilia vivipara,
29530,,Tomeurus gracilis,
29531,,Microphis lineatus,
29532,,Synbranchus marmoratus,
29533,,Polycentrus schomburgkii,
29534,,Pachypops fourcroi,
29535,,Plagioscion auratus,
29536,,Acaronia nassa,
29537,,Aequidens paloemeuensis,
29538,,Aequidens tetramerus,
29539,,Apistogramma gossei,
29540,,Astronotus ocellatus,
29541,,Chaetobranchopsis orbicularis,
29542,,Chaetobranchus flavescens,
29543,,Cichla monoculus,
29544,,Cichla ocellaris,
29545,,Cichlasoma amazonarum,
29546,,Cichlasoma bimaculatum,
29547,,Cleithracara maronii,
29548,,Crenicichla albopunctata,
29549,,Crenicichla alta,
29550,,Crenicichla johanna,
29551,,Crenicichla multispinosa,
29552,,Crenicichla saxatilis,
29553,,Crenicichla ternetzi,
29554,,Geophagus camopiensis,
29555,,Geophagus harreri,
29556,,Geophagus surinamensis,
29557,,Guianacara geayi,
29558,,Guianacara oelemariensis,
29559,,Guianacara owroewefi,
29560,,Heros efasciatus,
29561,,Hypselecara temporalis,
29562,,Krobia aff. guianensis sp1,
29563,,Krobia aff. guianensis sp2,
29564,,Krobia itanyi,
29565,,Laetacara flamannellus,
29566,,Mesonauta guyanae,
29567,,Nannacara anomala,
29568,,Nannacara aureocephalus,
29569,,Nannacara sp.,
29570,,Pterophyllum scalare,
